ds,yhat,yhat_lower,yhat_upper
2020-12-04,1859.2053874364647,1798.2914519448636,1923.7591531379712
2020-12-07,1851.4693729926064,1784.6038379096624,1912.8156391597295
2020-12-08,1852.2769821513427,1789.0742163545701,1916.9596141991826
2020-12-09,1851.2499296445405,1784.432589055908,1913.7756862906883
2020-12-10,1851.0715557004755,1788.34609861089,1917.1505517743642
2020-12-11,1848.828108932237,1787.367783716683,1916.6944775876946
2020-12-14,1843.0461531603244,1779.6613957871566,1904.0067004792234
2020-12-15,1844.7615852037927,1782.5794499418055,1905.064037861131
2020-12-16,1844.2729184033499,1780.674039440282,1909.8230393040253
2020-12-17,1843.940270456113,1779.0947077452013,1909.2601491795053
2020-12-18,1842.5789730220222,1780.5573226880401,1907.9473803118578
2020-12-21,1836.1228823398826,1770.123680467431,1902.551088963158
2020-12-22,1837.0142439914473,1771.2672896157737,1899.5016596128305
2020-12-23,1837.1099771925972,1773.5425759615684,1901.0797305914866
2020-12-24,1836.4491513180576,1776.0212317092212,1901.909781893204
2020-12-28,1828.0597550739724,1760.9861144052115,1889.5322387232595
2020-12-29,1829.4615582573233,1762.7429562245438,1888.565692041286
2020-12-30,1828.8927276706163,1763.7239660300884,1889.0836725760212
2020-12-31,1828.0310993526978,1765.1880227125416,1889.7186356588247
2021-01-04,1818.8266845426747,1756.4967064601367,1885.3267075399638
2021-01-05,1821.4123885786212,1757.3128007472326,1884.9559478713609
2021-01-06,1821.0149288140406,1755.7874841123376,1881.9462086534168
2021-01-07,1820.2302115981627,1761.6515996116202,1883.496634274217
2021-01-08,1819.0891575017367,1751.9739224216448,1879.6399053435368
2021-01-11,1813.1054359575298,1749.5592410351762,1871.3612812906201
2021-01-12,1815.0578078776616,1755.114593493316,1875.96375111562
2021-01-13,1814.2806671639842,1750.6476925596116,1875.544008805817
2021-01-14,1814.081250755595,1748.6952460483606,1877.2691390949676
2021-01-15,1811.5326242136048,1751.109274711993,1877.4037599763933
2021-01-19,1808.2880397576703,1742.6377204150428,1869.5381399737134
2021-01-20,1808.0316403411975,1742.5669486172044,1872.3738604436458
2021-01-21,1807.4306467592658,1745.1510198447486,1868.9658346134572
2021-01-22,1805.140721815608,1739.6593019209538,1868.97519904154
2021-01-25,1799.9239072073376,1731.345061822825,1861.892142967186
2021-01-26,1801.0788373915818,1736.7583349376048,1865.563125819473
2021-01-27,1800.4567560252397,1736.3130988017763,1857.5618890001883
2021-01-28,1799.1730288243023,1732.5850885978361,1861.311426154395
2021-01-29,1796.8650410429275,1733.3953326044686,1863.4147034449572
2021-02-01,1790.4807394939921,1732.926827992537,1860.3049596763342
2021-02-02,1791.9108857883887,1722.9268459162538,1856.590676331209
2021-02-03,1790.9560382445407,1725.1633174821905,1852.019856886316
2021-02-04,1789.596478076745,1727.9800152390565,1853.8891763753763
2021-02-05,1787.0648653751305,1722.3148007889563,1852.7464670900342
2021-02-08,1778.7873790913552,1711.9001572776071,1842.5870574542178
2021-02-09,1779.2882441421443,1719.3268234338866,1841.5432611580218
2021-02-10,1777.8248917171702,1716.1448773867162,1841.1659677205919
2021-02-11,1775.836660307562,1710.2744393079124,1840.3183190709724
2021-02-12,1773.834037424549,1709.49961859809,1833.7521471920038
2021-02-16,1767.2373178531225,1704.9668068513577,1828.5090478336012
